cell_id,tier,lane_id,lane_label,lane_class,scope,resolution,generated_clip_s,evaluated_clip_s,n_clips,attempt_ceiling,audio_flag,audio_note,eval_seconds,billed_s_best_r1,billed_s_worst_ceiling,attempts_best,attempts_worst,note
C01,CORE_CONTROL,wan27_rep_720,Wan 2.7 CONTROL (Replicate R1),standard,NON_IDENTITY,720p,5,5,50,2,OFF,no audio track requested; any returned audio stripped,250,250,500,50,100,control; also Wan own evidence; not a default
C02,CORE_CONTROL,wan27_rep_720,Wan 2.7 CONTROL (Replicate R1),standard,HERO,720p,5,5,50,2,OFF,no audio track requested; any returned audio stripped,250,250,500,50,100,control; paired inputs with C07/C09
C03,CORE_CONTROL,wan27_rep_720,Wan 2.7 CONTROL (Replicate R1),standard,IDENTITY,720p,5,5,50,2,OFF,no audio track requested; any returned audio stripped,250,250,500,50,100,control; paired inputs with C08/C10; requires E11 consent
C04,CORE_NI_DRAFT_COST,boreal_720,Creatify Boreal 720p,draft-cost,NON_IDENTITY,720p,5,5,50,3,OFF,no audio option observed; strip if returned,250,250,750,50,150,candidate only
C05,CORE_NI_DRAFT_COST,pruna_480_cost,Pruna P-Video-2-Pro 480p COST,draft-cost,NON_IDENTITY,480p,5,5,50,3,OFF,request audio off if supported; else strip,250,250,750,50,150,candidate only; 480p = NON_IDENTITY only
C06,CORE_NI_DRAFT_COST,pruna_768_cost,Pruna P-Video-2-Pro 768p COST,draft-cost,NON_IDENTITY,768p,5,5,50,3,OFF,request audio off if supported; else strip,250,250,750,50,150,candidate only
C07,HERO_ID_CANDIDATE_E4,kling3_pro_off,Kling v3 Pro audio OFF,premium,HERO,1080p (pro; res UNVERIFIED),5,5,50,2,OFF,audio-off SKU,250,250,500,50,100,candidate only; inclusion per E4
C08,HERO_ID_CANDIDATE_E4,kling3_pro_off,Kling v3 Pro audio OFF,premium,IDENTITY,1080p (pro; res UNVERIFIED),5,5,50,2,OFF,audio-off SKU,250,250,500,50,100,candidate only; inclusion per E4; requires E11 consent
C09,HERO_ID_CANDIDATE_E4,seedance2_fast_720,Seedance 2.0 Fast 720p,premium,HERO,720p,5,5,50,2,OFF,audio always generated/billed at same price; stripped before eval,250,250,500,50,100,candidate only; inclusion per E4
C10,HERO_ID_CANDIDATE_E4,seedance2_fast_720,Seedance 2.0 Fast 720p,premium,IDENTITY,720p,5,5,50,2,OFF,audio always generated/billed at same price; stripped before eval,250,250,500,50,100,candidate only; inclusion per E4; requires E11 consent
C11,OPTIONAL_ESCALATION,h3turbo_768,fal H3 Max Turbo 768p,draft-quality,NON_IDENTITY,768p,5,5,50,2,OFF,native audio; request off if supported; else strip,250,250,500,50,100,candidate only; LIST rate (promo excluded)
C12,OPTIONAL_ESCALATION,pruna_768_quality,Pruna P-Video-2-Pro 768p QUALITY,draft-quality,NON_IDENTITY,768p,5,5,50,2,OFF,request audio off if supported; else strip,250,250,500,50,100,candidate only
C13,OPTIONAL_ESCALATION,veo31lite_720,Veo 3.1 Lite 720p,draft-quality,NON_IDENTITY,720p,6,5,50,2,OFF,no-audio variant where transport offers it; else generated+stripped,250,300,600,50,100,candidate only; 4/6/8 s only -> generate 6 bill 6 trim to 5
C14,OPTIONAL_ESCALATION,boreal_720,Creatify Boreal 720p,draft-cost,HERO,720p,5,5,50,3,OFF,no audio option observed; strip if returned,250,250,750,50,150,candidate only
C15,OPTIONAL_ESCALATION,pruna_768_cost,Pruna P-Video-2-Pro 768p COST,draft-cost,HERO,768p,5,5,50,3,OFF,request audio off if supported; else strip,250,250,750,50,150,candidate only
C16,OPTIONAL_ESCALATION,h3turbo_768,fal H3 Max Turbo 768p,draft-quality,HERO,768p,5,5,50,2,OFF,native audio; request off if supported; else strip,250,250,500,50,100,candidate only
C17,OPTIONAL_ESCALATION,pruna_768_quality,Pruna P-Video-2-Pro 768p QUALITY,draft-quality,HERO,768p,5,5,50,2,OFF,request audio off if supported; else strip,250,250,500,50,100,candidate only
C18,OPTIONAL_ESCALATION,veo31lite_720,Veo 3.1 Lite 720p,draft-quality,HERO,720p,6,5,50,2,OFF,no-audio variant where transport offers it; else generated+stripped,250,300,600,50,100,candidate only; generate 6 bill 6 trim to 5
C19,OPTIONAL_ESCALATION,boreal_720,Creatify Boreal 720p,draft-cost,IDENTITY,720p,5,5,50,3,OFF,no audio option observed; strip if returned,250,250,750,50,150,candidate only; requires E11 consent
C20,OPTIONAL_ESCALATION,pruna_768_cost,Pruna P-Video-2-Pro 768p COST,draft-cost,IDENTITY,768p,5,5,50,3,OFF,request audio off if supported; else strip,250,250,750,50,150,candidate only; requires E11 consent
C21,OPTIONAL_ESCALATION,h3turbo_768,fal H3 Max Turbo 768p,draft-quality,IDENTITY,768p,5,5,50,2,OFF,native audio; request off if supported; else strip,250,250,500,50,100,candidate only; requires E11 consent
C22,OPTIONAL_ESCALATION,pruna_768_quality,Pruna P-Video-2-Pro 768p QUALITY,draft-quality,IDENTITY,768p,5,5,50,2,OFF,request audio off if supported; else strip,250,250,500,50,100,candidate only; requires E11 consent
C23,OPTIONAL_ESCALATION,veo31lite_720,Veo 3.1 Lite 720p,draft-quality,IDENTITY,720p,6,5,50,2,OFF,no-audio variant where transport offers it; else generated+stripped,250,300,600,50,100,candidate only; generate 6 bill 6 trim to 5; requires E11 consent
